post_id,instances,ocr,verdicts,text
24723,"[(1582446695.0, 'fb')]",[],['False information'],"('බුර්කාවට විරෝධය  මතුවිය යුත්තේ ඉස්ලාම් ස්ත්\u200dරිය තුලින්ම මිස සිංහල බෞද්ධ පුරුෂයා තුලින් නොවේ 🇱🇰❤️🤟', 'The opposition to the burqa should come from the Islamic woman and not from the Sinhala Buddhist man 🇱🇰❤️🤟', [('sin', 1.0)])"
13102,"[(1495137115.0, 'fb')]","[('LESBIAN\nGAY\nBISEXUAL\nTRANSGENDER\nPEDOSEXUAL\nLGBTP\nEQUALITY & ACCEPTANCE', 'LESBIAN\nGAY\nBISEXUAL\nTRANSGENDER\nPEDOSEXUAL\nLGBTP\nEQUALITY & ACCEPTANCE', [('eng', 0.792663037776947), ('spa', 0.1587858945131302)])]",['False information'],"('LGBTP y LGBTPZ próximas ampliaciones de siglas de la secta progresista.', 'LGBTP and LGBTPZ next extensions of acronyms of the progressive sect.', [('spa', 1.0)])"
2569,"[(1584466101.0, 'fb')]","[('අපි කාටත්.\nදවසක මරණය\nඋරුමයි..\nඒත්,\nමේ විදියට වෙද්දී\nහිතට ගොඩක්\nදුකයි..\nමේ ඉතාවයේ', 'To all of us.\nOne day death\nInherited..\nBut,\nIn this way\nA lot to mind\nSad..\nThis time', [('sin', 0.9348880052566528)])]",['False information'],
8362,"[(1574512286.0, 'tw')]",[],[],"('Dentro del marco de la Resolución 1373 #ONU🇺🇳 Colombia 🇨🇴 pidió refuerzos a #USA🇺🇸 para COMBATIR el TERRORISMO y el vandalismo de PETRO, del Foro de São Paulo y de los grupos terroristas FARC y ELN que hacen vida en Vz 🇻🇪 se ESPECULA que pueden enviar los AVIONES ✈️ NO TRIPULADOS https://t.co/vYIfb359JD', 'Within the framework of Resolution 1373 #ONU🇺🇳 Colombia 🇨🇴 requested reinforcements from #USA🇺🇸 to FIGHT TERRORISM and vandalism by PETRO, the São Paulo Forum and the FARC and ELN terrorist groups that make life in Vz 🇻 🇪 SPECULATES that they can send the PLANES ✈️ UNMANNED https://t.co/vYIfb359JD', [('spa', 1.0)])"
11042,"[(1612118431.0, 'fb')]",[],['False information'],"(""Größten Respekt vor den Polizisten, die Nehammer's lautstarke Befehle über Bord warfen, die Helme ablegten und mit den Bürgern gemeinsam spazierten👍👍👍"", ""Greatest respect for the police officers who threw Nehammer's loud orders overboard, who took off their helmets and walked together with the citizens 👍👍👍"", [('deu', 1.0)])"
6116,"[(1600752319.0, 'fb')]",[],['False information'],"('Astagafirullah sukabumi berduka...😭', 'Oh my God, Sukabumi is sad...😭', [('msa', 1.0)])"
15757,"[(1581549109.0, 'fb')]","[(""Renseignements téléphoniques\n118 612\n*\nService 2,99€ + 2,99€ / min\n+ prix appel\nOuvert aujourd'hui\nService privé fourni par DemarchesAdministratives.fr\nRéfugiés.info:\nUne plateforme\npour aider les\nréfugiés dans\nleurs\ndémarches\nadministratives"", 'Telephone information\n118,612\n*\nServing €2.99 + €2.99/min\n+ call price\nOpen today\nPrivate service provided by DemarchesAdministratives.fr\nRefugees.info:\nA platform\nto help the\nrefugees in\ntheir\nprocedures\nadministrative', [('fra', 0.8661001324653625), ('eng', 0.10185027867555618)])]",['Partly false information'],"(""Oh une nouvelle plateforme telephonique !!\nPour des refugiés en demande d'asile.\nA 3 euros la minute.\n\n3.putain.d'euros.la.minute.\n\nVous êtes des des barbares dans ce gouvernement."", 'Oh a new phone platform!!\nFor refugees seeking asylum.\nAt 3 euros per minute.\n\n3.fucking.euros.a.minute.\n\nYou are barbarians in this government.', [('fra', 1.0)])"
2824,"[(1358460329.0, 'fb')]",[],['False information and graphic content'],"('""Durante uma tourada, o toureiro sentiu-se mal. Teve tonturas e precisou de se sentar. Antes que alguém interferisse, o touro - que tinha sido agredido pelo próprio toureiro ao longo desse ""espectáculo"" (que tanto entretém gente de fraca cultura e com falta de humanidade) - apiedou-se do homem, parou diante dele e, para surpresa geral, ficou simplesmente a olhar para ele.\n\nO touro, como que sentindo o sofrimento do toureiro, foi solidário e ficou ao lado dele, sem recorrer a qualquer tipo de violência. Observem que o touro já tinha recebido diversas farpas no torso.\n\nResta a questão: afinal de contas, quem é o animal?""\nSE TAMBÉM ÉS CONTRA AS TOURADAS PARTILHA VAMOS CRIAR UM MOVIMENTO E ACABAR COM ISTO !', '""During a bullfight, the bullfighter felt sick. He felt dizzy and needed to sit down. Before anyone interfered, the bull - who had been attacked by the bullfighter himself during that ""show"" (which entertained people of poor culture and lacking in humanity) - took pity on the man, stopped in front of him and, to everyone\'s surprise, simply stared at him.\n\nThe bull, as if sensing the bullfighter\'s suffering, was sympathetic and stayed by his side, without resorting to any kind of violence. Note that the bull had already received several barbs on the torso.\n\nThe question remains: after all, who is the animal?""\nIF YOU\'RE AGAINST BULLFIGHTING TOO SHARE LET\'S CREATE A MOVEMENT AND END IT!', [('por', 1.0)])"
13074,"[(1569272191.0, 'fb')]",[],['False information'],"('LEALTADES CIEGAS AL SISTEMA FAMILIAR.🙏🌷\n\nEste niño en la fotografía es Jack Ma, el hombre más rico de China, él fue rechazado de 30 empleos. Él nunca dejo de soñar. Jack Ma hoy tiene más de 50 años y más de 23 mil millones de dólares. ...\n \nUna frase que dice: ""Nacer pobre no es tu responsabilidad, morir pobre si"".\nUna frase de Carl Jung dice: ""No eres responsable de la programación recibida ""llamése como programación: ""educación, forma de  crianza y creencias""  pero si eres responsable de solucionarla! Sanarla, cambiarla"".\n\nTrabajar las lealtades ciegas inconscientes con nuestro sistema familia se hace fundamental  para salir de los patrones repetitivos. Este hombre se animó a ser rico pero para eso tuvo que dejar de pensar igual que su sistema familiar...\n\nEn constelaciones familiares  se le llama lealtades ciegas cuando no nos animamos a tener más que nuestro sistema familiar, a ser más feliz que nuestro sistema familiar, a vivir más cómodamente que nuestro sistema familiar. Existe una especie de incomodidad si uno vive experiencias más placenteras que sus padres y si se las vive se las vive con mucha culpa. Hay una lealtad ciega que nos hace vivir la abundancia  con culpa por ejemplo, pero eso tiene una explicación y ella es el miedo a dejar de pertenecer. Existe  una especie de boicot que nos hacemos a nosotros mismos por dicha lealtad ciega, que se lo llama amor ciego. \n\nQue significa esto? \n\nPrefiero quedarme pobre, tonto, loco, incómodo igual que vive mi familia de origen con tal  de seguir perteneciendo al clan, con tal de seguir pareciendome a todos ellos en su forma de pensar, sentir y actuar, para no sentirme excluido y poder seguir unido a ellos.\n\nSi en mi familia todas las mujeres fueron abandonadas por los hombres, yo iré directo a buscar hombres abandonadores, con está lealtad ciega yo siento que pertenezco y me parezco a todas las mujeres de mi familia, pero si vivo con una pareja sana yo viviré con culpa está relación, boicoteando mi mundo sentimental. \n\nSi en mi familia siempre se vivió carencia económica, yo esquivare inconscientemente los trabajos que me convienen para no crecer. Si tengo un buen trabajo lo vivire con culpa, si tengo una casa mejor que la que tienen mis padres, me dará culpa y en lo más profundo sentiré que los deshonró, si logró cosas mejores que ellos. \n\nTrabajar estás creencias inconscientes hacen una enorme diferencia en nuestra vida! 🙌🏻', 'BLIND LOYALTIES TO THE FAMILY SYSTEM.🙏🌷\n\nThis boy in the photograph is Jack Ma, the richest man in China, he was turned down from 30 jobs. He never stopped dreaming. Jack Ma today is over 50 years old and worth more than 23 billion dollars. ...\n \nA phrase that says: ""Being born poor is not your responsibility, dying poor is.""\nA phrase by Carl Jung says: ""You are not responsible for the programming received"" call it as programming: ""education, upbringing and beliefs"" but you are responsible for solving it! Heal it, change it.""\n\nWorking on unconscious blind loyalties with our family system is essential to get out of repetitive patterns. This man dared to be rich but for that he had to stop thinking the same as his family system...\n\nIn family constellations it is called blind loyalties when we do not dare to have more than our family system, to be happier than our family system, to live more comfortably than our family system. There is a kind of discomfort if one lives more pleasant experiences than their parents and if they live them, they live with a lot of guilt. There is a blind loyalty that makes us experience abundance with guilt, for example, but that has an explanation and it is the fear of not belonging. There is a kind of boycott that we do to ourselves for such blind loyalty, which is called blind love.\n\nWhat does this mean?\n\nI prefer to stay poor, stupid, crazy, uncomfortable just like my family of origin lives in order to continue belonging to the clan, in order to continue to resemble all of them in their way of thinking, feeling and acting, so as not to feel excluded and to be able to remain united to them.\n\nIf in my family all the women were abandoned by men, I will go straight to look for abandoning men, with this blind loyalty I feel that I belong and I look like all the women in my family, but if I live with a healthy partner I will live with fault is relationship, boycotting my sentimental world.\n\nIf my family has always experienced economic deprivation, I will unconsciously avoid the jobs that are convenient for me so as not to grow. If I have a good job I will live with guilt, if I have a better house than my parents have, I will feel guilty and deep down I will feel that I have dishonored them, if I have achieved better things than them.\n\nWorking these unconscious beliefs make a huge difference in our lives! 🙌🏻', [('spa', 1.0)])"
14424,"[(None, 'fb')]",[],[],"('Medicos caen mientras operan al coronavirus. La transmisión es inmediata.', 'Doctors fall while operating on the coronavirus. Transmission is immediate.', [('spa', 1.0)])"
